billing_cycle_key,next_cycle,previous_cycle,month,next_month,previous_month
01-02-2000,01-03-2000,01-01-2000,2000-01,2000-02,1999-12
01-03-2000,01-04-2000,01-02-2000,2000-02,2000-03,2000-01
01-04-2000,01-05-2000,01-03-2000,2000-03,2000-04,2000-02
01-05-2000,01-06-2000,01-04-2000,2000-04,2000-05,2000-03
01-06-2000,01-07-2000,01-05-2000,2000-05,2000-06,2000-04
01-07-2000,01-08-2000,01-06-2000,2000-06,2000-07,2000-05
01-08-2000,01-09-2000,01-07-2000,2000-07,2000-08,2000-06
01-09-2000,01-10-2000,01-08-2000,2000-08,2000-09,2000-07
01-10-2000,01-11-2000,01-09-2000,2000-09,2000-10,2000-08
01-11-2000,01-12-2000,01-10-2000,2000-10,2000-11,2000-09
01-12-2000,01-01-2001,01-11-2000,2000-11,2000-12,2000-10
01-01-2001,01-02-2001,01-12-2000,2000-12,2001-01,2000-11
01-02-2001,01-03-2001,01-01-2001,2001-01,2001-02,2000-12
01-03-2001,01-04-2001,01-02-2001,2001-02,2001-03,2001-01
01-04-2001,01-05-2001,01-03-2001,2001-03,2001-04,2001-02
01-05-2001,01-06-2001,01-04-2001,2001-04,2001-05,2001-03
01-06-2001,01-07-2001,01-05-2001,2001-05,2001-06,2001-04
01-07-2001,01-08-2001,01-06-2001,2001-06,2001-07,2001-05
01-08-2001,01-09-2001,01-07-2001,2001-07,2001-08,2001-06
01-09-2001,01-10-2001,01-08-2001,2001-08,2001-09,2001-07
01-10-2001,01-11-2001,01-09-2001,2001-09,2001-10,2001-08
01-11-2001,01-12-2001,01-10-2001,2001-10,2001-11,2001-09
01-12-2001,01-01-2002,01-11-2001,2001-11,2001-12,2001-10
01-01-2002,01-02-2002,01-12-2001,2001-12,2002-01,2001-11
01-02-2002,01-03-2002,01-01-2002,2002-01,2002-02,2001-12
01-03-2002,01-04-2002,01-02-2002,2002-02,2002-03,2002-01
01-04-2002,01-05-2002,01-03-2002,2002-03,2002-04,2002-02
01-05-2002,01-06-2002,01-04-2002,2002-04,2002-05,2002-03
01-06-2002,01-07-2002,01-05-2002,2002-05,2002-06,2002-04
01-07-2002,01-08-2002,01-06-2002,2002-06,2002-07,2002-05
01-08-2002,01-09-2002,01-07-2002,2002-07,2002-08,2002-06
01-09-2002,01-10-2002,01-08-2002,2002-08,2002-09,2002-07
01-10-2002,01-11-2002,01-09-2002,2002-09,2002-10,2002-08
01-11-2002,01-12-2002,01-10-2002,2002-10,2002-11,2002-09
01-12-2002,01-01-2003,01-11-2002,2002-11,2002-12,2002-10
01-01-2003,01-02-2003,01-12-2002,2002-12,2003-01,2002-11
01-02-2003,01-03-2003,01-01-2003,2003-01,2003-02,2002-12
01-03-2003,01-04-2003,01-02-2003,2003-02,2003-03,2003-01
01-04-2003,01-05-2003,01-03-2003,2003-03,2003-04,2003-02
01-05-2003,01-06-2003,01-04-2003,2003-04,2003-05,2003-03
01-06-2003,01-07-2003,01-05-2003,2003-05,2003-06,2003-04
01-07-2003,01-08-2003,01-06-2003,2003-06,2003-07,2003-05
01-08-2003,01-09-2003,01-07-2003,2003-07,2003-08,2003-06
01-09-2003,01-10-2003,01-08-2003,2003-08,2003-09,2003-07
01-10-2003,01-11-2003,01-09-2003,2003-09,2003-10,2003-08
01-11-2003,01-12-2003,01-10-2003,2003-10,2003-11,2003-09
01-12-2003,01-01-2004,01-11-2003,2003-11,2003-12,2003-10
01-01-2004,01-02-2004,01-12-2003,2003-12,2004-01,2003-11
01-02-2004,01-03-2004,01-01-2004,2004-01,2004-02,2003-12
01-03-2004,01-04-2004,01-02-2004,2004-02,2004-03,2004-01
01-04-2004,01-05-2004,01-03-2004,2004-03,2004-04,2004-02
01-05-2004,01-06-2004,01-04-2004,2004-04,2004-05,2004-03
01-06-2004,01-07-2004,01-05-2004,2004-05,2004-06,2004-04
01-07-2004,01-08-2004,01-06-2004,2004-06,2004-07,2004-05
01-08-2004,01-09-2004,01-07-2004,2004-07,2004-08,2004-06
01-09-2004,01-10-2004,01-08-2004,2004-08,2004-09,2004-07
01-10-2004,01-11-2004,01-09-2004,2004-09,2004-10,2004-08
01-11-2004,01-12-2004,01-10-2004,2004-10,2004-11,2004-09
01-12-2004,01-01-2005,01-11-2004,2004-11,2004-12,2004-10
01-01-2005,01-02-2005,01-12-2004,2004-12,2005-01,2004-11
01-02-2005,01-03-2005,01-01-2005,2005-01,2005-02,2004-12
01-03-2005,01-04-2005,01-02-2005,2005-02,2005-03,2005-01
01-04-2005,01-05-2005,01-03-2005,2005-03,2005-04,2005-02
01-05-2005,01-06-2005,01-04-2005,2005-04,2005-05,2005-03
01-06-2005,01-07-2005,01-05-2005,2005-05,2005-06,2005-04
01-07-2005,01-08-2005,01-06-2005,2005-06,2005-07,2005-05
01-08-2005,01-09-2005,01-07-2005,2005-07,2005-08,2005-06
01-09-2005,01-10-2005,01-08-2005,2005-08,2005-09,2005-07
01-10-2005,01-11-2005,01-09-2005,2005-09,2005-10,2005-08
01-11-2005,01-12-2005,01-10-2005,2005-10,2005-11,2005-09
01-12-2005,01-01-2006,01-11-2005,2005-11,2005-12,2005-10
01-01-2006,01-02-2006,01-12-2005,2005-12,2006-01,2005-11
01-02-2006,01-03-2006,01-01-2006,2006-01,2006-02,2005-12
01-03-2006,01-04-2006,01-02-2006,2006-02,2006-03,2006-01
01-04-2006,01-05-2006,01-03-2006,2006-03,2006-04,2006-02
01-05-2006,01-06-2006,01-04-2006,2006-04,2006-05,2006-03
01-06-2006,01-07-2006,01-05-2006,2006-05,2006-06,2006-04
01-07-2006,01-08-2006,01-06-2006,2006-06,2006-07,2006-05
01-08-2006,01-09-2006,01-07-2006,2006-07,2006-08,2006-06
01-09-2006,01-10-2006,01-08-2006,2006-08,2006-09,2006-07
01-10-2006,01-11-2006,01-09-2006,2006-09,2006-10,2006-08
01-11-2006,01-12-2006,01-10-2006,2006-10,2006-11,2006-09
01-12-2006,01-01-2007,01-11-2006,2006-11,2006-12,2006-10
01-01-2007,01-02-2007,01-12-2006,2006-12,2007-01,2006-11
01-02-2007,01-03-2007,01-01-2007,2007-01,2007-02,2006-12
01-03-2007,01-04-2007,01-02-2007,2007-02,2007-03,2007-01
01-04-2007,01-05-2007,01-03-2007,2007-03,2007-04,2007-02
01-05-2007,01-06-2007,01-04-2007,2007-04,2007-05,2007-03
01-06-2007,01-07-2007,01-05-2007,2007-05,2007-06,2007-04
01-07-2007,01-08-2007,01-06-2007,2007-06,2007-07,2007-05
01-08-2007,01-09-2007,01-07-2007,2007-07,2007-08,2007-06
01-09-2007,01-10-2007,01-08-2007,2007-08,2007-09,2007-07
01-10-2007,01-11-2007,01-09-2007,2007-09,2007-10,2007-08
01-11-2007,01-12-2007,01-10-2007,2007-10,2007-11,2007-09
01-12-2007,01-01-2008,01-11-2007,2007-11,2007-12,2007-10
01-01-2008,01-02-2008,01-12-2007,2007-12,2008-01,2007-11
01-02-2008,01-03-2008,01-01-2008,2008-01,2008-02,2007-12
01-03-2008,01-04-2008,01-02-2008,2008-02,2008-03,2008-01
01-04-2008,01-05-2008,01-03-2008,2008-03,2008-04,2008-02
01-05-2008,01-06-2008,01-04-2008,2008-04,2008-05,2008-03
01-06-2008,01-07-2008,01-05-2008,2008-05,2008-06,2008-04
01-07-2008,01-08-2008,01-06-2008,2008-06,2008-07,2008-05
01-08-2008,01-09-2008,01-07-2008,2008-07,2008-08,2008-06
01-09-2008,01-10-2008,01-08-2008,2008-08,2008-09,2008-07
01-10-2008,01-11-2008,01-09-2008,2008-09,2008-10,2008-08
01-11-2008,01-12-2008,01-10-2008,2008-10,2008-11,2008-09
01-12-2008,01-01-2009,01-11-2008,2008-11,2008-12,2008-10
01-01-2009,01-02-2009,01-12-2008,2008-12,2009-01,2008-11
01-02-2009,01-03-2009,01-01-2009,2009-01,2009-02,2008-12
01-03-2009,01-04-2009,01-02-2009,2009-02,2009-03,2009-01
01-04-2009,01-05-2009,01-03-2009,2009-03,2009-04,2009-02
01-05-2009,01-06-2009,01-04-2009,2009-04,2009-05,2009-03
01-06-2009,01-07-2009,01-05-2009,2009-05,2009-06,2009-04
01-07-2009,01-08-2009,01-06-2009,2009-06,2009-07,2009-05
01-08-2009,01-09-2009,01-07-2009,2009-07,2009-08,2009-06
01-09-2009,01-10-2009,01-08-2009,2009-08,2009-09,2009-07
01-10-2009,01-11-2009,01-09-2009,2009-09,2009-10,2009-08
01-11-2009,01-12-2009,01-10-2009,2009-10,2009-11,2009-09
